name,image,price,short_description,stock,sku,categories,tags,description,additional_information,related_products
Pidgey,https://scrapeme.live/wp-content/uploads/2018/08/016.png,159.0,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",175 in stock,SKU: 9452,"Pokemon,Tiny Bird","Keen Eye,pidgey,Tiny Bird","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","[{'info': 'Weight', 'value': '4 kg'}, {'info': 'Dimensions', 'value': '1 x 1 x 1 cm'}]","[{'name': 'Fearow', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png', 'price': '£ 95.00', 'url': 'https://scrapeme.live/shop/Fearow/'}, {'name': 'Weedle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png', 'price': '£ 25.00', 'url': 'https://scrapeme.live/shop/Weedle/'}, {'name': 'Raticate', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/020-350x350.png', 'price': '£ 60.00', 'url': 'https://scrapeme.live/shop/Raticate/'}]"
Kakuna,https://scrapeme.live/wp-content/uploads/2018/08/014.png,148.0,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",260 in stock,SKU: 1049,"Cocoon,Pokemon","Cocoon,kakuna,Shed Skin","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","[{'info': 'Weight', 'value': '22 kg'}, {'info': 'Dimensions', 'value': '2 x 2 x 2 cm'}]","[{'name': 'Squirtle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png', 'price': '£ 130.00', 'url': 'https://scrapeme.live/shop/Squirtle/'}, {'name': 'Ivysaur', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png', 'price': '£ 87.00', 'url': 'https://scrapeme.live/shop/Ivysaur/'}, {'name': 'Charmander', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png', 'price': '£ 48.00', 'url': 'https://scrapeme.live/shop/Charmander/'}]"
Butterfree,https://scrapeme.live/wp-content/uploads/2018/08/012.png,162.0,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",242 in stock,SKU: 9507,"Butterfly,Pokemon","Butterfly,butterfree,Compound Eyes","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","[{'info': 'Weight', 'value': '70.5 kg'}, {'info': 'Dimensions', 'value': '3 x 3 x 3 cm'}]","[{'name': 'Wartortle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png', 'price': '£ 123.00', 'url': 'https://scrapeme.live/shop/Wartortle/'}, {'name': 'Ekans', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/023-350x350.png', 'price': '£ 55.00', 'url': 'https://scrapeme.live/shop/Ekans/'}, {'name': 'Kakuna', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png', 'price': '£ 148.00', 'url': 'https://scrapeme.live/shop/Kakuna/'}]"
Caterpie,https://scrapeme.live/wp-content/uploads/2018/08/010.png,73.0,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",40 in stock,SKU: 7492,"Pokemon,Worm","caterpie,Shield Dust,Worm","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","[{'info': 'Weight', 'value': '6.4 kg'}, {'info': 'Dimensions', 'value': '1 x 1 x 1 cm'}]","[{'name': 'Metapod', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png', 'price': '£ 148.00', 'url': 'https://scrapeme.live/shop/Metapod/'}, {'name': 'Ivysaur', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png', 'price': '£ 87.00', 'url': 'https://scrapeme.live/shop/Ivysaur/'}, {'name': 'Fearow', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png', 'price': '£ 95.00', 'url': 'https://scrapeme.live/shop/Fearow/'}]"
Beedrill,https://scrapeme.live/wp-content/uploads/2018/08/015.png,168.0,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",125 in stock,SKU: 6542,"Poison Bee,Pokemon","beedrill,Poison Bee,Swarm","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","[{'info': 'Weight', 'value': '65 kg'}, {'info': 'Dimensions', 'value': '3 x 3 x 3 cm'}]","[{'name': 'Raticate', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/020-350x350.png', 'price': '£ 60.00', 'url': 'https://scrapeme.live/shop/Raticate/'}, {'name': 'Wartortle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png', 'price': '£ 123.00', 'url': 'https://scrapeme.live/shop/Wartortle/'}, {'name': 'Caterpie', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png', 'price': '£ 73.00', 'url': 'https://scrapeme.live/shop/Caterpie/'}]"
Blastoise,https://scrapeme.live/wp-content/uploads/2018/08/009.png,76.0,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,88 in stock,SKU: 5212,"Pokemon,Shellfish","blastoise,Shellfish,Torrent",Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,"[{'info': 'Weight', 'value': '188.5 kg'}, {'info': 'Dimensions', 'value': '5 x 5 x 5 cm'}]","[{'name': 'Beedrill', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png', 'price': '£ 168.00', 'url': 'https://scrapeme.live/shop/Beedrill/'}, {'name': 'Squirtle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png', 'price': '£ 130.00', 'url': 'https://scrapeme.live/shop/Squirtle/'}, {'name': 'Charmander', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png', 'price': '£ 48.00', 'url': 'https://scrapeme.live/shop/Charmander/'}]"
Weedle,https://scrapeme.live/wp-content/uploads/2018/08/013.png,25.0,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,65 in stock,SKU: 7525,"Hairy Bug,Pokemon","Hairy Bug,Shield Dust,weedle",Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"[{'info': 'Weight', 'value': '7.1 kg'}, {'info': 'Dimensions', 'value': '1 x 1 x 1 cm'}]","[{'name': 'Ekans', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/023-350x350.png', 'price': '£ 55.00', 'url': 'https://scrapeme.live/shop/Ekans/'}, {'name': 'Charmeleon', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png', 'price': '£ 165.00', 'url': 'https://scrapeme.live/shop/Charmeleon/'}, {'name': 'Metapod', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png', 'price': '£ 148.00', 'url': 'https://scrapeme.live/shop/Metapod/'}]"
Wartortle,https://scrapeme.live/wp-content/uploads/2018/08/008.png,123.0,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",24 in stock,SKU: 9659,"Pokemon,Turtle","Torrent,Turtle,wartortle","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.","[{'info': 'Weight', 'value': '49.6 kg'}, {'info': 'Dimensions', 'value': '3 x 3 x 3 cm'}]","[{'name': 'Butterfree', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png', 'price': '£ 162.00', 'url': 'https://scrapeme.live/shop/Butterfree/'}, {'name': 'Rattata', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png', 'price': '£ 128.00', 'url': 'https://scrapeme.live/shop/Rattata/'}, {'name': 'Squirtle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png', 'price': '£ 130.00', 'url': 'https://scrapeme.live/shop/Squirtle/'}]"
Metapod,https://scrapeme.live/wp-content/uploads/2018/08/011.png,148.0,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,285 in stock,SKU: 2072,"Cocoon,Pokemon","Cocoon,metapod,Shed Skin",The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,"[{'info': 'Weight', 'value': '21.8 kg'}, {'info': 'Dimensions', 'value': '2 x 2 x 2 cm'}]","[{'name': 'Charmander', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png', 'price': '£ 48.00', 'url': 'https://scrapeme.live/shop/Charmander/'}, {'name': 'Charmeleon', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png', 'price': '£ 165.00', 'url': 'https://scrapeme.live/shop/Charmeleon/'}, {'name': 'Arbok', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png', 'price': '£ 182.00', 'url': 'https://scrapeme.live/shop/Arbok/'}]"
Squirtle,https://scrapeme.live/wp-content/uploads/2018/08/007.png,130.0,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",178 in stock,SKU: 6094,"Pokemon,Tiny Turtle","squirtle,Tiny Turtle,Torrent","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","[{'info': 'Weight', 'value': '19.8 kg'}, {'info': 'Dimensions', 'value': '1 x 1 x 1 cm'}]","[{'name': 'Charizard', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png', 'price': '£ 156.00', 'url': 'https://scrapeme.live/shop/Charizard/'}, {'name': 'Pikachu', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/025-350x350.png', 'price': '£ 37.00', 'url': 'https://scrapeme.live/shop/Pikachu/'}, {'name': 'Pidgeotto', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/017-350x350.png', 'price': '£ 84.00', 'url': 'https://scrapeme.live/shop/Pidgeotto/'}]"
